# wolf-hunter: banked credits, auto-continue, kick-storms at wolf zones
7228,a,1
7234,a,0
7240,start,1
7248,start,0
7252,b,1
7258,b,0
7276,a,1
7282,a,0
7300,b,1
7306,b,0
7324,a,1
7330,a,0
7348,b,1
7354,b,0
7372,a,1
7378,a,0
7396,b,1
7402,b,0
7420,a,1
7426,a,0
7444,b,1
7450,b,0
7468,a,1
7474,a,0
7480,start,1
7488,start,0
7492,b,1
7498,b,0
7516,a,1
7522,a,0
7540,b,1
7546,b,0
7564,a,1
7570,a,0
7588,b,1
7594,b,0
7612,a,1
7618,a,0
7636,b,1
7642,b,0
7660,a,1
7666,a,0
7684,b,1
7690,b,0
7708,a,1
7714,a,0
7720,start,1
7728,start,0
7732,b,1
7738,b,0
7756,a,1
7762,a,0
7780,b,1
7786,b,0
7804,a,1
7810,a,0
7828,b,1
7834,b,0
7852,a,1
7858,a,0
7876,b,1
7882,b,0
7900,a,1
7906,a,0
7924,b,1
7930,b,0
7948,a,1
7954,a,0
7960,start,1
7968,start,0
7972,b,1
7978,b,0
7996,a,1
8002,a,0
8020,b,1
8026,b,0
8044,a,1
8050,a,0
8068,b,1
8074,b,0
8092,a,1
8098,a,0
8116,b,1
8122,b,0
8140,a,1
8146,a,0
8164,b,1
8170,b,0
8188,a,1
8194,a,0
8200,start,1
8208,start,0
8212,b,1
8218,b,0
8236,a,1
8242,a,0
8260,b,1
8266,b,0
8284,a,1
8290,a,0
8308,b,1
8314,b,0
8332,a,1
8338,a,0
8356,b,1
8362,b,0
8380,a,1
8386,a,0
8404,b,1
8410,b,0
8428,a,1
8434,a,0
8440,start,1
8448,start,0
8452,b,1
8458,b,0
8476,a,1
8482,a,0
8500,b,1
8506,b,0
8524,a,1
8530,a,0
8548,b,1
8554,b,0
8572,a,1
8578,a,0
8596,b,1
8602,b,0
8620,a,1
8626,a,0
8644,b,1
8650,b,0
8668,a,1
8674,a,0
8680,start,1
8688,start,0
8692,b,1
8698,b,0
8716,a,1
8722,a,0
8740,b,1
8746,b,0
8764,a,1
8770,a,0
8788,b,1
8794,b,0
8812,a,1
8818,a,0
8836,b,1
8842,b,0
8860,a,1
8866,a,0
8884,b,1
8890,b,0
8908,a,1
8914,a,0
8920,start,1
8928,start,0
8932,b,1
8938,b,0
8956,a,1
8962,a,0
8980,b,1
8986,b,0
9004,a,1
9010,a,0
9028,b,1
9034,b,0
9052,a,1
9058,a,0
9076,b,1
9082,b,0
9100,a,1
9106,a,0
9124,b,1
9130,b,0
9148,a,1
9154,a,0
9160,start,1
9168,start,0
9172,b,1
9178,b,0
9196,a,1
9202,a,0
9220,b,1
9226,b,0
9244,a,1
9250,a,0
9268,b,1
9274,b,0
9292,a,1
9298,a,0
9316,b,1
9322,b,0
9340,a,1
9346,a,0
9364,b,1
9370,b,0
9388,a,1
9394,a,0
9400,start,1
9408,start,0
9412,b,1
9418,b,0
9436,a,1
9442,a,0
9460,b,1
9466,b,0
9484,a,1
9490,a,0
9508,b,1
9514,b,0
9532,a,1
9538,a,0
9556,b,1
9562,b,0
9580,a,1
9586,a,0
9604,b,1
9610,b,0
9628,a,1
9634,a,0
9640,start,1
9648,start,0
9652,b,1
9658,b,0
9676,a,1
9682,a,0
9700,b,1
9706,b,0
9724,a,1
9730,a,0
9748,b,1
9754,b,0
9772,a,1
9778,a,0
9796,b,1
9802,b,0
9820,a,1
9826,a,0
9844,b,1
9850,b,0
9868,a,1
9874,a,0
9880,start,1
9888,start,0
9892,b,1
9898,b,0
9916,a,1
9922,a,0
9940,b,1
9946,b,0
9964,a,1
9970,a,0
9988,b,1
9994,b,0
10012,a,1
10018,a,0
10036,b,1
10042,b,0
10060,a,1
10066,a,0
10084,b,1
10090,b,0
10108,a,1
10114,a,0
10120,start,1
10128,start,0
10132,b,1
10138,b,0
10156,a,1
10162,a,0
10180,b,1
10186,b,0
10204,a,1
10210,a,0
10228,b,1
10234,b,0
10252,a,1
10258,a,0
10276,b,1
10282,b,0
10300,a,1
10306,a,0
10324,b,1
10330,b,0
10348,a,1
10354,a,0
10360,start,1
10368,start,0
10372,b,1
10378,b,0
10396,a,1
10402,a,0
10420,b,1
10426,b,0
10444,a,1
10450,a,0
10468,b,1
10474,b,0
10492,a,1
10498,a,0
10516,b,1
10522,b,0
10540,a,1
10546,a,0
10564,b,1
10570,b,0
10588,a,1
10594,a,0
10600,start,1
10608,start,0
10612,right,0
10612,b,1
10617,b,0
10628,b,1
10633,b,0
10644,b,1
10649,b,0
10660,b,1
10665,b,0
10676,b,1
10681,b,0
10692,b,1
10697,b,0
10708,b,1
10713,b,0
10724,b,1
10729,b,0
10736,right,1
10742,right,0
10742,b,1
10747,b,0
10758,b,1
10763,b,0
10774,b,1
10779,b,0
10790,b,1
10795,b,0
10806,b,1
10811,b,0
10822,b,1
10827,b,0
10838,b,1
10840,start,1
10843,b,0
10848,start,0
10854,b,1
10859,b,0
10866,right,1
10872,right,0
10872,b,1
10877,b,0
10888,b,1
10893,b,0
10904,b,1
10909,b,0
10920,b,1
10925,b,0
10936,b,1
10941,b,0
10952,b,1
10957,b,0
10968,b,1
10973,b,0
10984,b,1
10989,b,0
10996,right,1
11002,right,0
11002,b,1
11007,b,0
11018,b,1
11023,b,0
11034,b,1
11039,b,0
11050,b,1
11055,b,0
11066,b,1
11071,b,0
11080,start,1
11082,b,1
11087,b,0
11088,start,0
11098,b,1
11103,b,0
11114,b,1
11119,b,0
11126,right,1
11132,right,0
11132,b,1
11137,b,0
11148,b,1
11153,b,0
11164,b,1
11169,b,0
11180,b,1
11185,b,0
11196,b,1
11201,b,0
11212,b,1
11217,b,0
11228,b,1
11233,b,0
11244,b,1
11249,b,0
11256,right,1
11262,right,0
11262,b,1
11267,b,0
11278,b,1
11283,b,0
11294,b,1
11299,b,0
11310,b,1
11315,b,0
11320,start,1
11326,b,1
11328,start,0
11331,b,0
11342,b,1
11347,b,0
11358,b,1
11363,b,0
11374,b,1
11379,b,0
11386,right,1
11392,b,1
11398,b,0
11416,a,1
11422,a,0
11440,b,1
11446,b,0
11464,a,1
11470,a,0
11488,b,1
11494,b,0
11512,a,1
11518,a,0
11536,b,1
11542,b,0
11560,a,1
11560,start,1
11566,a,0
11568,start,0
11584,b,1
11590,b,0
11608,a,1
11614,a,0
11632,b,1
11638,b,0
11656,a,1
11662,a,0
11680,b,1
11686,b,0
11704,a,1
11710,a,0
11728,b,1
11734,b,0
11752,a,1
11758,a,0
11776,b,1
11782,b,0
11800,right,0
11800,b,1
11800,start,1
11805,b,0
11808,start,0
11816,b,1
11821,b,0
11832,b,1
11837,b,0
11848,b,1
11853,b,0
11864,b,1
11869,b,0
11880,b,1
11885,b,0
11896,b,1
11901,b,0
11912,b,1
11917,b,0
11924,right,1
11930,right,0
11930,b,1
11935,b,0
11946,b,1
11951,b,0
11962,b,1
11967,b,0
11978,b,1
11983,b,0
11994,b,1
11999,b,0
12010,b,1
12015,b,0
12026,b,1
12031,b,0
12040,start,1
12042,b,1
12047,b,0
12048,start,0
12054,right,1
12060,right,0
12060,b,1
12065,b,0
12076,b,1
12081,b,0
12092,b,1
12097,b,0
12108,b,1
12113,b,0
12124,b,1
12129,b,0
12140,b,1
12145,b,0
12156,b,1
12161,b,0
12172,b,1
12177,b,0
12184,right,1
12190,right,0
12190,b,1
12195,b,0
12206,b,1
12211,b,0
12222,b,1
12227,b,0
12238,b,1
12243,b,0
12254,b,1
12259,b,0
12270,b,1
12275,b,0
12280,start,1
12286,b,1
12288,start,0
12291,b,0
12302,b,1
12307,b,0
12314,right,1
12320,right,0
12320,b,1
12325,b,0
12336,b,1
12341,b,0
12352,b,1
12357,b,0
12368,b,1
12373,b,0
12384,b,1
12389,b,0
12400,b,1
12405,b,0
12416,b,1
12421,b,0
12432,b,1
12437,b,0
12444,right,1
12450,b,1
12456,b,0
12474,a,1
12480,a,0
12498,b,1
12504,b,0
12520,start,1
12522,a,1
12528,a,0
12528,start,0
12546,b,1
12552,b,0
12570,a,1
12576,a,0
12594,b,1
12600,b,0
12618,a,1
12624,a,0
12642,b,1
12648,b,0
12666,a,1
12672,a,0
12690,b,1
12696,b,0
12714,a,1
12720,a,0
12738,b,1
12744,b,0
12760,start,1
12762,a,1
12768,a,0
12768,start,0
12786,b,1
12792,b,0
12810,a,1
12816,a,0
12834,b,1
12840,b,0
12858,a,1
12864,a,0
12882,b,1
12888,b,0
12906,a,1
12912,a,0
12930,b,1
12936,b,0
12954,a,1
12960,a,0
12978,b,1
12984,b,0
